[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C9103), DiseaseCodeDTO(vocabulary=UMLS, code=C0278984)]",Stage IIIB Non-Oat Cell Lung Carcinoma,3385.7695,"[DiseaseSynonymDTO(name=Stage IIIB Non-Oat Cell Lung Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Stage IIIB Non-Oat Cell Carcinoma of Lung, isPTI=false), DiseaseSynonymDTO(name=Stage IIIB Non-Oat Cell Carcinoma of the Lung, isPTI=false), DiseaseSynonymDTO(name=Stage IIIB Non-Small Cell Lung Cancer AJCC v7, isPTI=false), DiseaseSynonymDTO(name=Non-small cell lung cancer stage IIIB, isPTI=true), DiseaseSynonymDTO(name=Lung cancer non-small cell stage IIIB, isPTI=false), DiseaseSynonymDTO(name=Stage IIIB Non-Small Cell Lung Cancer, isPTI=false), DiseaseSynonymDTO(name=Stage IIIB Lung Non-Small Cell Cancer AJCC v7, isPTI=true), DiseaseSynonymDTO(name=stage IIIB nonsmall cell lung cancer, isPTI=false), DiseaseSynonymDTO(name=NSCLC, stage IIIB, isPTI=false), DiseaseSynonymDTO(name=lung cancer, non-oat cell, stage IIIB, isPTI=false), DiseaseSynonymDTO(name=lung cancer, non-small cell, stage IIIB, isPTI=false), DiseaseSynonymDTO(name=lung cancer, nonsmall cell, stage IIIB, isPTI=false), DiseaseSynonymDTO(name=non-oat cell lung cancer, stage IIIB, isPTI=false), DiseaseSynonymDTO(name=non-small cell lung cancer, stage IIIB, isPTI=false), DiseaseSynonymDTO(name=nonsmall cell lung cancer, stage IIIB, isPTI=false), DiseaseSynonymDTO(name=stage IIIB NSCLC, isPTI=false), DiseaseSynonymDTO(name=Non Small Cell Lung Cancer Stage IIIB, isPTI=false), DiseaseSynonymDTO(name=Non Small Cell Lung Cancer, Stage IIIB, isPTI=false), DiseaseSynonymDTO(name=Stage IIIB Non-Small Cell Carcinoma of Lung, isPTI=false), DiseaseSynonymDTO(name=Stage IIIB Non-Small Cell Carcinoma of the Lung, isPTI=false), DiseaseSynonymDTO(name=Stage IIIB Non-Small Cell Lung Carcinoma, isPTI=false)]",disease
[],[],"[Endocrine System Diseases (C19), Digestive System Diseases (C06), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C43298), DiseaseCodeDTO(vocabulary=MSH, code=C535837), DiseaseCodeDTO(vocabulary=ORDO, code=1333), DiseaseCodeDTO(vocabulary=MONDO, code=0015278), DiseaseCodeDTO(vocabulary=UMLS, code=C2931038)]",Hereditary Pancreatic Carcinoma,3384.582,"[DiseaseSynonymDTO(name=Hereditary Pancreatic Carcinoma, isPTI=true), DiseaseSynonymDTO(name=Familial Pancreatic carcinoma, isPTI=false), DiseaseSynonymDTO(name=Pancreatic carcinoma, familial, isPTI=false), DiseaseSynonymDTO(name=Hereditary Pancreatic Cancer, isPTI=false), DiseaseSynonymDTO(name=Familial Pancreatic Cancer, isPTI=false), DiseaseSynonymDTO(name=pancreatic cancer, familial, isPTI=false), DiseaseSynonymDTO(name=pancreatic cancer, hereditary, isPTI=false)]",disease
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]",[],"[Stomatognathic Diseases (C07), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=ICD10, code=C07), DiseaseCodeDTO(vocabulary=MSH, code=D010307), DiseaseCodeDTO(vocabulary=ICD9CM, code=142.0), DiseaseCodeDTO(vocabulary=NCI, code=C3525), DiseaseCodeDTO(vocabulary=DO, code=9036), DiseaseCodeDTO(vocabulary=MONDO, code=0004700), DiseaseCodeDTO(vocabulary=EFO, code=0003873), DiseaseCodeDTO(vocabulary=UMLS, code=C0747273)]",Malignant neoplasm of parotid gland,3382.517,"[DiseaseSynonymDTO(name=Malignant neoplasm of parotid gland, isPTI=true), DiseaseSynonymDTO(name=malignant neoplasm of parotid, isPTI=true), DiseaseSynonymDTO(name=malignant neoplasm of parotid (diagnosis), isPTI=false), DiseaseSynonymDTO(name=parotid neoplasm malignant, isPTI=false), DiseaseSynonymDTO(name=malignant parotid neoplasm, isPTI=false), DiseaseSynonymDTO(name=Cancers, Parotid, isPTI=false), DiseaseSynonymDTO(name=Parotid Cancers, isPTI=false), DiseaseSynonymDTO(name=Malig neo parotid, isPTI=false), DiseaseSynonymDTO(name=parotid cancer, isPTI=true), DiseaseSynonymDTO(name=cancer of parotid gland, isPTI=false), DiseaseSynonymDTO(name=parotid gland cancer, isPTI=true), DiseaseSynonymDTO(name=cancer parotid, isPTI=false), DiseaseSynonymDTO(name=Cancer, Parotid, isPTI=false), DiseaseSynonymDTO(name=Malignant tumor of parotid gland, isPTI=false), DiseaseSynonymDTO(name=Malignant tumour of parotid gland, isPTI=false), DiseaseSynonymDTO(name=CA - Cancer of parotid gland, isPTI=false), DiseaseSynonymDTO(name=Parotid tumour malignant, isPTI=false), DiseaseSynonymDTO(name=Parotid tumor malignant, isPTI=false), DiseaseSynonymDTO(name=Cancer of the Parotid, isPTI=false), DiseaseSynonymDTO(name=Malignant tumor of parotid gland (disorder), isPTI=false), DiseaseSynonymDTO(name=Cancer of Parotid, isPTI=false), DiseaseSynonymDTO(name=Malignant Neoplasm of the Parotid Gland, isPTI=false), DiseaseSynonymDTO(name=Malignant Neoplasm of the Parotid, isPTI=false), DiseaseSynonymDTO(name=Malignant Parotid Gland Neoplasm, isPTI=true), DiseaseSynonymDTO(name=Malignant Parotid Gland Tumor, isPTI=false), DiseaseSynonymDTO(name=Malignant Parotid Tumor, isPTI=false), DiseaseSynonymDTO(name=Malignant Tumor of Parotid, isPTI=false), DiseaseSynonymDTO(name=Malignant Tumor of the Parotid Gland, isPTI=false), DiseaseSynonymDTO(name=Malignant Tumor of the Parotid, isPTI=false), DiseaseSynonymDTO(name=Cancer of the Parotid Gland, isPTI=false), DiseaseSynonymDTO(name=Neoplasm malig;parotid, isPTI=true), DiseaseSynonymDTO(name=malignant neosplasm of the parotid, isPTI=false)]",disease
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]","[Neoplasm (02664), Abnormality of the breast (00769)]","[Neoplasms (C04), Skin and Connective Tissue Diseases (C17)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=HPO, code=HP:0003002), DiseaseCodeDTO(vocabulary=MSH, code=D001943), DiseaseCodeDTO(vocabulary=NCI, code=C4872), DiseaseCodeDTO(vocabulary=DO, code=1612), DiseaseCodeDTO(vocabulary=DO, code=3459), DiseaseCodeDTO(vocabulary=MONDO, code=0004989), DiseaseCodeDTO(vocabulary=MONDO, code=0021100), DiseaseCodeDTO(vocabulary=EFO, code=0000305), DiseaseCodeDTO(vocabulary=EFO, code=0003869), DiseaseCodeDTO(vocabulary=UMLS, code=C0678222)]",CARCINOMA OF BREAST,3378.5142,"[DiseaseSynonymDTO(name=CARCINOMA OF BREAST, isPTI=true), DiseaseSynonymDTO(name=Breast carcinoma, isPTI=false), DiseaseSynonymDTO(name=carcinoma of breast (diagnosis), isPTI=false), DiseaseSynonymDTO(name=breast cancer, isPTI=true), DiseaseSynonymDTO(name=breast cancer diagnosis, isPTI=true), DiseaseSynonymDTO(name=breast carcinomas, isPTI=false), DiseaseSynonymDTO(name=Carcinoma of breast NOS (disorder), isPTI=false), DiseaseSynonymDTO(name=Carcinoma of breast (disorder), isPTI=false), DiseaseSynonymDTO(name=Carcinoma of breast NOS, isPTI=false), DiseaseSynonymDTO(name=Breast carcinoma NOS, isPTI=false), DiseaseSynonymDTO(name=Carcinoma breast, isPTI=false), DiseaseSynonymDTO(name=Carcinomas, Breast, isPTI=false), DiseaseSynonymDTO(name=Carcinoma, Breast, isPTI=false), DiseaseSynonymDTO(name=CA - Carcinoma of breast, isPTI=false), DiseaseSynonymDTO(name=Cancer of Breast, isPTI=false), DiseaseSynonymDTO(name=Cancer of the Breast, isPTI=false), DiseaseSynonymDTO(name=Mammary Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Carcinoma of the Breast, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C6316), DiseaseCodeDTO(vocabulary=UMLS, code=C4551534)]",Stage IB Cervical Cancer AJCC v6,3375.6409,"[DiseaseSynonymDTO(name=Stage IB Cervical Cancer AJCC v6, isPTI=false), DiseaseSynonymDTO(name=Stage IB Cervical Cancer AJCC v7, isPTI=false), DiseaseSynonymDTO(name=Stage IB Cervical Cancer, isPTI=false), DiseaseSynonymDTO(name=Stage IB Cervical Cancer AJCC v6 and v7, isPTI=true), DiseaseSynonymDTO(name=FIGO Stage IB Carcinoma of Cervix Uteri, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IB Carcinoma of Cervix, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IB Carcinoma of Uterine Cervix, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IB Carcinoma of the Cervix Uteri, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IB Carcinoma of the Cervix, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IB Carcinoma of the Uterine Cervix, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IB Cervical Carcinoma, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IB Cervix Carcinoma, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IB Cervix Uteri Carcinoma, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IB Uterine Cervix Carcinoma, isPTI=false), DiseaseSynonymDTO(name=AJCC Stage IB Cervical Cancer, isPTI=false), DiseaseSynonymDTO(name=Cervical Cancer Stage IB, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C6320), DiseaseCodeDTO(vocabulary=UMLS, code=C4551868)]",Stage IIB Cervical Cancer AJCC v6,3375.5833,"[DiseaseSynonymDTO(name=Stage IIB Cervical Cancer AJCC v6, isPTI=false), DiseaseSynonymDTO(name=Stage IIB Cervical Cancer AJCC v7, isPTI=false), DiseaseSynonymDTO(name=Stage IIB Cervical Cancer AJCC v6 and v7, isPTI=true), DiseaseSynonymDTO(name=Stage IIB Cervical Cancer, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IIB Carcinoma of Cervix Uteri, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IIB Carcinoma of Cervix, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IIB Carcinoma of Uterine Cervix, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IIB Carcinoma of the Cervix Uteri, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IIB Carcinoma of the Cervix, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IIB Carcinoma of the Uterine Cervix, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IIB Cervical Carcinoma, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IIB Cervix Carcinoma, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IIB Cervix Uteri Carcinoma, isPTI=false), DiseaseSynonymDTO(name=FIGO Stage IIB Uterine Cervix Carcinoma, isPTI=false), DiseaseSynonymDTO(name=AJCC Stage IIB Cervical Cancer, isPTI=false), DiseaseSynonymDTO(name=Cervical Cancer Stage II, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=UMLS, code=C0855160)]",Extragonadal primary germ cell cancer NOS,3373.1921,"[DiseaseSynonymDTO(name=Extragonadal primary germ cell cancer NOS, isPTI=false), DiseaseSynonymDTO(name=Extragonadal primary germ cell cancer, isPTI=false)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C27467), DiseaseCodeDTO(vocabulary=MONDO, code=0004660), DiseaseCodeDTO(vocabulary=UMLS, code=C4520773)]",Stage 0 Lung Cancer AJCC v6,3372.025,"[DiseaseSynonymDTO(name=Stage 0 Lung Cancer AJCC v6, isPTI=false), DiseaseSynonymDTO(name=Stage 0 Lung Cancer AJCC v7, isPTI=false), DiseaseSynonymDTO(name=Stage 0 Lung Cancer AJCC v6 and v7, isPTI=true), DiseaseSynonymDTO(name=Stage 0 Lung Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Bronchial Carcinoma in situ, isPTI=false)]",disease
diseaseClasses_DO,diseaseClasses_HPO,diseaseClasses_MSH,diseaseClasses_UMLS_ST,diseaseCodes,name,search_rank,synonyms,type
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]",[],"[Stomatognathic Diseases (C07), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=ICD10, code=C02.9), DiseaseCodeDTO(vocabulary=MSH, code=D014062), DiseaseCodeDTO(vocabulary=ICD9CM, code=141.9), DiseaseCodeDTO(vocabulary=NCI, code=C9345), DiseaseCodeDTO(vocabulary=ICD9CM, code=141), DiseaseCodeDTO(vocabulary=DO, code=8649), DiseaseCodeDTO(vocabulary=MONDO, code=0004631), DiseaseCodeDTO(vocabulary=EFO, code=0003871), DiseaseCodeDTO(vocabulary=UMLS, code=C0153349)]",Malignant neoplasm of tongue,3363.4414,"[DiseaseSynonymDTO(name=Malignant neoplasm of tongue, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of tongue, unspecified, isPTI=false), DiseaseSynonymDTO(name=Tongue, unspecified, isPTI=false), DiseaseSynonymDTO(name=malignant neoplasm of tongue (diagnosis), isPTI=false), DiseaseSynonymDTO(name=malignant tongue neoplasm, isPTI=false), DiseaseSynonymDTO(name=Tongue neoplasm malignant stage unspecified, isPTI=true), DiseaseSynonymDTO(name=Cancers, Tongue, isPTI=false), DiseaseSynonymDTO(name=Tongue Cancers, isPTI=false), DiseaseSynonymDTO(name=tongue cancer, isPTI=false), DiseaseSynonymDTO(name=malignant tumor of tongue, isPTI=false), DiseaseSynonymDTO(name=Malig neo tongue NOS, isPTI=false), DiseaseSynonymDTO(name=of tongue cancer, isPTI=false), DiseaseSynonymDTO(name=cancer of the tongue, isPTI=false), DiseaseSynonymDTO(name=cancer of tongue, isPTI=false), DiseaseSynonymDTO(name=malignant tongue cancer, isPTI=false), DiseaseSynonymDTO(name=cancer tongue, isPTI=false), DiseaseSynonymDTO(name=Cancer, Tongue, isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of tongue NOS (disorder), isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of tongue NOS, isPTI=false), DiseaseSynonymDTO(name=Tongue--Cancer, isPTI=true), DiseaseSynonymDTO(name=CA - Cancer of tongue, isPTI=false), DiseaseSynonymDTO(name=Malignant tumour of tongue, isPTI=false), DiseaseSynonymDTO(name=Malignant tumor of tongue (disorder), isPTI=false), DiseaseSynonymDTO(name=Malignant neoplasm of tongue, NOS, isPTI=false), DiseaseSynonymDTO(name=Malignant Neoplasm of the Tongue, isPTI=false), DiseaseSynonymDTO(name=Malignant Tongue Tumor, isPTI=false), DiseaseSynonymDTO(name=Malignant Tumor of the Tongue, isPTI=false), DiseaseSynonymDTO(name=Tongue Neoplasm, Malignant, isPTI=false), DiseaseSynonymDTO(name=Neoplasm malig;tongue, isPTI=true)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=OMIM, code=614564), DiseaseCodeDTO(vocabulary=OMIM, code=601215), DiseaseCodeDTO(vocabulary=ORDO, code=313846), DiseaseCodeDTO(vocabulary=MONDO, code=0013806), DiseaseCodeDTO(vocabulary=UMLS, code=C3281203)]","CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME, FAMILIAL",3348.721,"[DiseaseSynonymDTO(name=CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME, FAMILIAL, isPTI=true), DiseaseSynonymDTO(name=FCTCS, isPTI=false), DiseaseSynonymDTO(name=TELANGIECTASIA, CUTANEOUS, AND CANCER SYNDROME, FAMILIAL, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C175214), DiseaseCodeDTO(vocabulary=UMLS, code=C5417749)]",Occult Gallbladder Cancer,3348.6145,"[DiseaseSynonymDTO(name=Occult Gallbladder Cancer, isPTI=false), DiseaseSynonymDTO(name=Incidental Gallbladder Cancer, isPTI=false), DiseaseSynonymDTO(name=Occult Gallbladder Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Incidental Gallbladder Carcinoma, isPTI=true), DiseaseSynonymDTO(name=IGBC, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C89859), DiseaseCodeDTO(vocabulary=UMLS, code=C0278496)]",malignant neoplasm of stomach stage II (diagnosis),3344.924,"[DiseaseSynonymDTO(name=malignant neoplasm of stomach stage II (diagnosis), isPTI=false), DiseaseSynonymDTO(name=malignant neoplasm of stomach stage II, isPTI=true), DiseaseSynonymDTO(name=Gastric cancer stage II, isPTI=true), DiseaseSynonymDTO(name=malignant tumor of stomach stage II, isPTI=false), DiseaseSynonymDTO(name=Gastric malignancy stage II, isPTI=false), DiseaseSynonymDTO(name=Stomach cancer stage II, isPTI=false), DiseaseSynonymDTO(name=Stage II Gastric Cancer, isPTI=false), DiseaseSynonymDTO(name=Stage II Gastric Cancer AJCC v7, isPTI=true), DiseaseSynonymDTO(name=gastric cancer, stage II, isPTI=false), DiseaseSynonymDTO(name=stomach cancer, stage II, isPTI=false)]",disease
[],"[Neoplasm (02664), Abnormality of the genitourinary system (00119)]","[Neoplasms (C04), Endocrine System Diseases (C19), Urogenital Diseases (C12)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C4908), DiseaseCodeDTO(vocabulary=HPO, code=HP:0025318), DiseaseCodeDTO(vocabulary=MSH, code=D000077216), DiseaseCodeDTO(vocabulary=MONDO, code=0005140), DiseaseCodeDTO(vocabulary=EFO, code=0001075), DiseaseCodeDTO(vocabulary=UMLS, code=C4721610)]",ovarian epithelial cancer,3343.0754,"[DiseaseSynonymDTO(name=ovarian epithelial cancer, isPTI=false), DiseaseSynonymDTO(name=cancer epithelial ovarian, isPTI=false), DiseaseSynonymDTO(name=carcinoma ovarian, isPTI=false), DiseaseSynonymDTO(name=ovarian cancer epithelial, isPTI=false), DiseaseSynonymDTO(name=ovarian carcinoma, isPTI=true), DiseaseSynonymDTO(name=epithelial ovarian cancer, isPTI=false), DiseaseSynonymDTO(name=Ovarian Cancer, Epithelial, isPTI=false), DiseaseSynonymDTO(name=Epithelial Carcinoma, Ovarian, isPTI=false), DiseaseSynonymDTO(name=Carcinoma, Ovarian Epithelial, isPTI=false), DiseaseSynonymDTO(name=Ovarian Epithelial Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Cancer, Ovarian Epithelial, isPTI=false), DiseaseSynonymDTO(name=Cancer, Epithelial Ovarian, isPTI=false), DiseaseSynonymDTO(name=Epithelial Ovarian Cancers, isPTI=false), DiseaseSynonymDTO(name=Ovarian Epithelial Carcinomas, isPTI=false), DiseaseSynonymDTO(name=Epithelial Ovarian Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Epithelial Ovarian Carcinomas, isPTI=false), DiseaseSynonymDTO(name=Epithelial Cancer, Ovarian, isPTI=false), DiseaseSynonymDTO(name=Carcinoma, Epithelial Ovarian, isPTI=false), DiseaseSynonymDTO(name=Ovarian Epithelial Cancers, isPTI=false), DiseaseSynonymDTO(name=Ovarian Carcinoma, Epithelial, isPTI=false), DiseaseSynonymDTO(name=carcinoma, ovarian, isPTI=false), DiseaseSynonymDTO(name=Carcinoma of Ovary, isPTI=false), DiseaseSynonymDTO(name=Carcinoma of the Ovary, isPTI=false)]",disease
[],[],"[Nervous System Diseases (C10), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D007029), DiseaseCodeDTO(vocabulary=NCI, code=C175539), DiseaseCodeDTO(vocabulary=DO, code=3644), DiseaseCodeDTO(vocabulary=MONDO, code=0006799), DiseaseCodeDTO(vocabulary=EFO, code=1000979), DiseaseCodeDTO(vocabulary=UMLS, code=C0751238)]",MALIGNANT HYPOTHALAMIC NEOPL,3341.2231,"[DiseaseSynonymDTO(name=MALIGNANT HYPOTHALAMIC NEOPL, isPTI=false), DiseaseSynonymDTO(name=HYPOTHALAMIC NEOPL MALIGNANT, isPTI=false), DiseaseSynonymDTO(name=NEOPL HYPOTHALAMIC MALIGNANT, isPTI=false), DiseaseSynonymDTO(name=Cancer, Hypothalamic, isPTI=false), DiseaseSynonymDTO(name=Cancers, Hypothalamic, isPTI=false), DiseaseSynonymDTO(name=Hypothalamic Cancers, isPTI=false), DiseaseSynonymDTO(name=Hypothalamic Neoplasm, Malignant, isPTI=false), DiseaseSynonymDTO(name=Malignant Hypothalamic Neoplasm, isPTI=false), DiseaseSynonymDTO(name=Neoplasm, Malignant Hypothalamic, isPTI=false), DiseaseSynonymDTO(name=Neoplasms, Malignant Hypothalamic, isPTI=false), DiseaseSynonymDTO(name=Neoplasms, Hypothalamic, Malignant, isPTI=false), DiseaseSynonymDTO(name=Hypothalamic Cancer, isPTI=false), DiseaseSynonymDTO(name=Malignant Hypothalamic Neoplasms, isPTI=false), DiseaseSynonymDTO(name=Hypothalamic Neoplasms, Malignant, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C9102), DiseaseCodeDTO(vocabulary=UMLS, code=C0278983)]",Stage IIIA Non-Oat Cell Carcinoma of the Lung,3333.6338,"[DiseaseSynonymDTO(name=Stage IIIA Non-Oat Cell Carcinoma of the Lung, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Non-Oat Cell Carcinoma of Lung, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Non-Oat Cell Lung Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Non-Small Cell Lung Cancer AJCC v7, isPTI=false), DiseaseSynonymDTO(name=Non-small cell lung cancer stage IIIA, isPTI=true), DiseaseSynonymDTO(name=Lung cancer non-small cell stage IIIA, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Non-Small Cell Lung Cancer, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Lung Non-Small Cell Cancer AJCC v7, isPTI=true), DiseaseSynonymDTO(name=stage IIIA nonsmall cell lung cancer, isPTI=false), DiseaseSynonymDTO(name=NSCLC, stage IIIA, isPTI=false), DiseaseSynonymDTO(name=lung cancer, non-oat cell, stage IIIA, isPTI=false), DiseaseSynonymDTO(name=lung cancer, non-small cell, stage IIIA, isPTI=false), DiseaseSynonymDTO(name=lung cancer, nonsmall cell, stage IIIA, isPTI=false), DiseaseSynonymDTO(name=non-oat cell lung cancer, stage IIIA, isPTI=false), DiseaseSynonymDTO(name=non-small cell lung cancer, stage IIIA, isPTI=false), DiseaseSynonymDTO(name=nonsmall cell lung cancer, stage IIIA, isPTI=false), DiseaseSynonymDTO(name=stage IIIA NSCLC, isPTI=false), DiseaseSynonymDTO(name=Non Small Cell Lung Cancer Stage IIIA, isPTI=false), DiseaseSynonymDTO(name=Non Small Cell Lung Cancer, Stage IIIA, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Non-Small Cell Carcinoma of Lung, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Non-Small Cell Carcinoma of the Lung, isPTI=false), DiseaseSynonymDTO(name=Stage IIIA Non-Small Cell Lung Carcinoma, isPTI=false)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C4046), DiseaseCodeDTO(vocabulary=UMLS, code=C0280734)]",AIDS related cancer,3329.075,"[DiseaseSynonymDTO(name=AIDS related cancer, isPTI=false), DiseaseSynonymDTO(name=AIDS related cancers, isPTI=false), DiseaseSynonymDTO(name=AIDS related malignancies, isPTI=false), DiseaseSynonymDTO(name=aids-related cancer, isPTI=false), DiseaseSynonymDTO(name=aids-related malignancies, isPTI=true), DiseaseSynonymDTO(name=AIDS-Related Malignancy, isPTI=false), DiseaseSynonymDTO(name=AIDS-Related Malignant Neoplasm, isPTI=false), DiseaseSynonymDTO(name=AIDS-associated cancer, isPTI=false), DiseaseSynonymDTO(name=cancer, AIDS related, isPTI=false), DiseaseSynonymDTO(name=malignancies, AIDS-related, isPTI=false)]",disease
[],[],[],[Disease or Syndrome (T047)],"[DiseaseCodeDTO(vocabulary=ORDO, code=213524), DiseaseCodeDTO(vocabulary=MONDO, code=0016249), DiseaseCodeDTO(vocabulary=UMLS, code=C4749652)]",Hereditary site-specific ovarian cancer syndrome,3327.8228,"[DiseaseSynonymDTO(name=Hereditary site-specific ovarian cancer syndrome, isPTI=true), DiseaseSynonymDTO(name=Hereditary site-specific ovarian cancer syndrome (disorder), isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C7777), DiseaseCodeDTO(vocabulary=UMLS, code=C0278505)]",Stage II Non-Oat Cell Carcinoma of the Lung,3325.718,"[DiseaseSynonymDTO(name=Stage II Non-Oat Cell Carcinoma of the Lung, isPTI=false), DiseaseSynonymDTO(name=Stage II Non-Oat Cell Carcinoma of Lung, isPTI=false), DiseaseSynonymDTO(name=Stage II Non-Oat Cell Lung Carcinoma, isPTI=false), DiseaseSynonymDTO(name=Stage II Non-Small Cell Lung Cancer AJCC v7, isPTI=false), DiseaseSynonymDTO(name=Non-small cell lung cancer stage II, isPTI=true), DiseaseSynonymDTO(name=Lung cancer non-small cell stage II, isPTI=false), DiseaseSynonymDTO(name=Stage II Non-Small Cell Lung Cancer, isPTI=false), DiseaseSynonymDTO(name=Stage II Lung Non-Small Cell Cancer AJCC v7, isPTI=true), DiseaseSynonymDTO(name=stage II nonsmall cell lung cancer, isPTI=false), DiseaseSynonymDTO(name=NSCLC, stage II, isPTI=false), DiseaseSynonymDTO(name=lung cancer, non-oat cell, stage II, isPTI=false), DiseaseSynonymDTO(name=lung cancer, nonsmall cell, stage II, isPTI=false), DiseaseSynonymDTO(name=non-oat cell lung cancer, stage II, isPTI=false), DiseaseSynonymDTO(name=non-small cell lung cancer, stage II, isPTI=false), DiseaseSynonymDTO(name=nonsmall cell lung cancer, stage II, isPTI=false), DiseaseSynonymDTO(name=stage II NSCLC, isPTI=false), DiseaseSynonymDTO(name=Non -Small Cell Lung Cancer Stage II, isPTI=false), DiseaseSynonymDTO(name=Non Small Cell Lung Cancer Stage II, isPTI=false), DiseaseSynonymDTO(name=Stage II Non-Small Cell Carcinoma of Lung, isPTI=false), DiseaseSynonymDTO(name=Stage II Non-Small Cell Carcinoma of the Lung, isPTI=false), DiseaseSynonymDTO(name=Stage II Non-Small Cell Lung Carcinoma, isPTI=false)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C35812), DiseaseCodeDTO(vocabulary=MONDO, code=0001082), DiseaseCodeDTO(vocabulary=UMLS, code=C0948627)]",malignant neoplasm of lymph node,3325.7021,"[DiseaseSynonymDTO(name=malignant neoplasm of lymph node, isPTI=true), DiseaseSynonymDTO(name=malignant neoplasm of lymph node (diagnosis), isPTI=false), DiseaseSynonymDTO(name=malignant tumor of lymph node, isPTI=false), DiseaseSynonymDTO(name=lymph node cancer, isPTI=true), DiseaseSynonymDTO(name=cancer lymph nodes, isPTI=false), DiseaseSynonymDTO(name=cancers lymph node, isPTI=false), DiseaseSynonymDTO(name=cancer lymph node, isPTI=false), DiseaseSynonymDTO(name=Cancer of lymph node, isPTI=false), DiseaseSynonymDTO(name=Malignant Lymph Node Neoplasm, isPTI=true)]",disease
